traceroute/stable,now 1:2.1.0-2 amd64 [installed]
tzdata/stable,now 2019a-1 all [installed]
ucf/stable,now 3.0038+nmu1 all [installed]
udev/stable,now 241-5 amd64 [installed]
usbutils/stable,now 1:010-3 amd64 [installed]
util-linux/stable,now 2.33.1-0.1 amd64 [installed]
valac/stable,now 0.42.5-1 amd64 [installed]
vim-common/stable,now 2:8.1.0875-5 all [installed]
vim-tiny/stable,now 2:8.1.0875-5 amd64 [installed]
vim/stable,now 2:8.1.0875-5 amd64 [installed]
wamerican/stable,now 2018.04.16-1 all [installed]
wget/stable,now 1.20.1-1.1 amd64 [installed]
whiptail/stable,now 0.52.20-8 amd64 [installed]
xmlto/stable,now 0.0.28-2.1 amd64 [installed]
xserver-xorg-dev/stable,now 2:1.20.4-1 amd64 [installed]
xutils-dev/stable,now 1:7.7+5+b1 amd64 [installed]
xxd/stable,now 2:8.1.0875-5 amd64 [installed]
youtube-dl/stable,now 2019.01.17-1.1 all [installed]
zlib1g/stable,now 1:1.2.11.dfsg-1 amd64 [installed]
